陪安东尼度过漫长岁月 全六册 加赠亲签明信片 当当自营 治愈系天花板，20年的真实故事分享，关于友情、爱情、成长和自我，总能找到共鸣。,¥273.60,¥288.00,安东尼,2024-01-01,湖南文艺出版社,赠品： 1. 故事开始的地方 echo 全新艺术装饰画 2.304P陪安笔记本、印签纪念信 ★治愈系天花板，20年的真实故事分享，温柔又有力量。 ★关于友情、爱情、成长和自我，总能找到共鸣。 ★记录生活中的美好点滴，字里行间都写满了爱。 ★金句俯拾皆是，随手一翻都妙不可言。 ★跟随作者领略生活的冷暖，收获面对生活的勇气和力量。 ★机灵、轻巧的文字，让你觉得：原来我还可以这样想？原来我还能过这样的生活？ ★在充满内卷的时代，太需要这样一本温和的书了。 ★读安东尼的书，像收到远方朋友的来信。 ★20年，他始终在这里，温暖着，陪伴着，鼓舞着。 ★读完觉得很踏实，每一句都想背下来。 ★全新设计，装帧精美，充满爱意与温暖，超适合收藏或送朋友！
小清欢【印特签版+当当定制贴纸】 超人气作家云拿月经典口碑代表作 全新修订版。新增出版番外《似此星辰非昨夜》《晓看天色暮看云》。电影不是爱情，我们才是。随书附赠：清欢电影胶片+眷恋海报+Q萌异形书签+禾佳电影票+电子赠品。,¥26.10,¥42.80,云拿月 著，酷威文化 出品,2023-04-01,江苏凤凰文艺出版社,超人气作家云拿月经典口碑代表作，全新修订版，新增出版番外《似此星辰非昨夜》《晓看天色暮看云》。 明媚阳光 齐欢 清冷腹黑 陈让，双向救赎 久别重逢 情有独钟，电影不是爱情，我们才是。 那一年的齐欢一往无前，她教会陈让什么是爱情。他听了信了，从那时一直信到现在。今后，也将永远相信。 精美双封，烫金工艺，质感颜值双双在线，超值收藏。 随书附赠：清欢电影胶片 眷恋海报 Q萌异形书签 禾佳电影票 电子赠品。
红：陪安东尼度过漫长岁月Ⅰ 全新典藏版 我一直一直在想你 思念带来前所未有的甜蜜,¥45.60,¥48.00,安东尼,2024-01-01,湖南文艺出版社,★拥有全世界最多的朋友！ 跨越20年的真实故事，生活记录系列 2005 2024 SOMETHINGNEW 真实故事 | 生活记录 | 刻下记号的瞬间 | 漫长岁月的陪伴 回望二十年的时间 虽不能说 感觉就在昨天 但总感觉 只要伸长胳膊就能触摸到 所谓的漫长岁月 都在你们的陪伴中 无声地 却又风驰电掣地度过了 ★ 颜控不能错过的一套书！！ 用心装帧 精品打造：双封 护封双面印刷，可翻转折叠成新封面 同色系锁线裸背脊 ★ 不讲大道理！不是聪明书！这本书像一个拥抱，温柔且长久地陪伴着你！ 这本书没有什么大道理 好像也没有能帮你加持打怪的工具 或许你在阅读的过程里 一些温柔会浮上水面 希望这种温柔可以一直陪伴 保护着你
没有明天的我们，在昨天相恋【当当定制衔尾蛇镭射怀表X2】第八届网络小说大奖获奖作品 高口碑作者星火燎原双向救赎青春物语。媲美新海诚《你的名字》治愈催泪奇幻之作。人生毫无意义，直到我遇见你。这满溢而出的爱意，正是我梦寐已久的命运。随书赠：时间回溯卡+希望骰子+拯救观察记录。――酷威文化,¥26.10,¥42.80,[日]星火燎原 著，酷威文化 出品,2025-04-01,北京日报出版社,高口碑作者星火燎原双向救赎青春物语。第八届网络小说大奖获奖作品、 成为小说家吧 恋爱类月榜TOP1。 一块能够回溯时间的怀表，一场生死不渝的恋爱，媲美新海诚《你的名字》治愈催泪奇幻之作。我会救你，千千万万次；我会爱你，于生命之上。 人生毫无意义，直到我遇见你。这满溢而出的爱意，正是我梦寐已久的命运。 这本书里有初恋、成长、迷茫与希望，希望你哭过之后，能够燃起前进的勇气，勇敢地面对命运。 随书附赠：时间回溯卡 希望骰子 拯救观察记录。
那个不为人知的故事 Twentine（无量渡口）BE美学代表作品 超人气作者Twentine（无量渡口）经典之作，全文精心修订，直击心底深处的柔软。 这是杨昭和陈铭生的故事，这是卧底缉毒警察的故事。 你始终不曾离去，你永远在我心底。 ――酷威文化,¥42.00,¥42.00,Twentine 著，酷威文化 出品,2020-10-01,四川文艺出版社,★超人气作者Twentine（无量渡口）经典催泪之作，全文精心修订，直击心底深处的柔软。 ★豆瓣评分8.6，微博评分9.9，同名影视正在筹拍中，千万粉丝翘首企盼。 ★这是关于杨昭和陈铭生的故事，一个女人爱上了一个男人，普通、简单，又格外直白；这是关于卧底缉毒警察的故事，如此平凡，又如此伟大。 ★这世间很难有一个杨昭，却注定有千千万万个陈铭生。他们被人铭记，也被人遗忘，却一直向前，不曾回头。 ★他是她的理想国，她是他的憩息所。 有生之年，幸得有你。无惧黑暗，只待白日。 ★随书附赠精美祈愿卡
朝俞1+2伪装学渣 限定正面白版护封+背面黑版护封套装 青春畅销小说实体书 当当自营,¥79.60,¥79.60,木瓜黄；力潮文创,2023-05-01,广东旅游出版社,★原版销量超百万册！精心修订，重版再来！晋江年度榜上有名现象级青春小说！ ★外封珠光纸工艺 内封特种纸烫金独立别致设计，精美印刷。书中含作者木瓜黄印特签版回馈新老读者 正背彩色插图拉页。 ★随书赠： 特种纸藏书票1枚 大海报1张 朝俞同框卡1张
红酒绿 苏他代表作 人气作者苏他浪漫温情之作，新增出版番外《嘘》。潜水艇会遇见飞行器，我会爱你。随书附赠：银河海报+灯风明信片+苏他印签拍立得+Q萌折立卡+“呼唤雨”船票+电子赠品。――酷威文化,¥36.40,¥42.80,苏他 著，酷威文化 出品,2023-04-01,江苏凤凰文艺出版社,人气作者苏他浪漫温情之作，诚意新增6000字出版番外《嘘》。 潜水爱好者夏灯 航天工程学霸游风。暗恋成真 双向奔赴。潜水艇会遇见飞行器，我会爱你。 他是她的骑士，终成为她的船长。 精美双封，护封双面印刷，书名烫红工艺，美感质感双在线。 随书附赠：银河海报 灯风明信片 苏他印签拍立得 Q萌折立卡 呼唤雨 船票 电子赠品。
奇洛李维斯回信（高人气作者清明谷雨口碑代表作！） 富士山不远，月亮也真的可以私有。新增出版两万字番外《成人礼礼物》 ，附赠“万水千山”拍立得两张、“回信”名场面明信片、作者手写信、新增番外信、“宝莉湾一期发布会”邀请函,¥38.60,¥56.00,清明谷雨 著，博集天卷 出品,2025-07-01,上海文化出版社,★原创人气文学，高人气作者清明谷雨口碑代表作！富士山不远，月亮也真的可以私有。 ★随书附赠 万水千山 拍立得两张、 椰子 和 回信 名场面两张、作者手写信、新增番外信、 宝莉湾一期发布会 邀请函、 菠萝山竹 打卡板和猫猫小卖铺Q版贴纸。 ★新增出版两万字番外《成人礼礼物》。 ★内文选用73g米黄胶版纸，质感细腻。内含精美彩插。 ★封面可四层拆封，双封设计，封面烫金工艺，精致考究，具有收藏价值。
他笑时风华正茂【印特签版+当当专享印制作者手写明信片】舒远 舒远青春暗恋口碑代表作，新增番外《朝花夕誓》《独自等待》《一生挚爱》。浪子回头 池铮×温软情深 孟盛楠。这风华正茂的日子，我想让他迷途知返。随书附赠：读书卡+暗恋光栅卡+抽拉卡+DIY回忆定制复读机。,¥36.40,¥42.80,舒远 著，酷威文化 出品,2023-11-01,江苏凤凰文艺出版社,人气作者舒远青春暗恋口碑代表作 全新修订版，新增番外《朝花夕誓》《独自等待》《一生挚爱》。 浪子回头池铮 温软情深孟盛楠。青春暗恋 久别重逢 浪子回头 情意绵长。这风华正茂的日子，我想让他迷途知返。 那一年，孟盛楠遇见了那个洒脱不羁的少年。暗恋池铮的第八年，他们恋爱了。蓝天下，风吹过八千里，我们还是我们。 精美双封，护封双面印刷，镭射烫银工艺，超高颜值，质感加持，极具收藏价值。 随书附赠：读书卡 暗恋光栅卡 走近你 抽拉卡 DIY回忆定制复读机 电子赠品。
渡厄【印签版+当当定制信纸x2】杨溯 人气作者杨溯全新古风力作，新增出版番外《新生》。愿此生漫长寂静里，我们后会有期。随书附赠：驱厄御守+人设书签+如故立体摆件+电子赠品。――酷威文化,¥42.30,¥49.80,杨溯 著，酷威文化 出品,2024-01-01,天地出版社,人气作者杨溯全新古风力作，作品收藏10万 ，人气热度2700万 ，读者书评6万 ，新增出版番外《新生》。 傲娇大佬百里决明 美人徒弟谢寻微。徒儿，从今往后，师尊为你而活！ 苍苍有灵，念吾所愿。若得吾师重归人世，吾愿用生命交换！ 这一次，无论如何，他不会再逃跑。师尊，我来了。 随书附赠：驱厄御守 人设书签 如故立体摆件 电子赠品
